step,distance
40200,0.008046374
40300,0.0077032
40400,0.0077659786
40500,0.007823542
40600,0.007868186
40700,0.007817358
40800,0.0077510625
40900,0.007851213
41000,0.007874697
41100,0.007728815
41200,0.007458806
41300,0.007550329
41400,0.007494852
41500,0.007557854
41600,0.0077183396
41700,0.007840529
41800,0.0076489896
41900,0.007517189
42000,0.007874057
42100,0.0075440705
42200,0.007871926
42300,0.007753089
42400,0.00765346
42500,0.0074439347
42600,0.0072716326
42700,0.007358432
42800,0.007417232
42900,0.0074211955
43000,0.0073911846
43100,0.007273689
43200,0.007579431
43300,0.0073503405
43400,0.007385269
43500,0.007391736
43600,0.0076692104
43700,0.007484153
43800,0.0072699785
43900,0.007237777
44000,0.007302761
44100,0.0073188543
44200,0.0074747503
44300,0.007201314
44400,0.007224679
44500,0.0072722584
44600,0.0072502494
44700,0.0074064285
44800,0.0075223
44900,0.007423997
45000,0.007350877
45100,0.0072245
45200,0.0073628426
45300,0.0074353367
45400,0.0072819144
45500,0.0072461963
45600,0.0072165728
45700,0.007190764
45800,0.0072731823
45900,0.0074686706
46000,0.0071970224
46100,0.0073521286
46200,0.007197663
46300,0.0073572546
46400,0.007291734
46500,0.007233709
46600,0.0071061403
46700,0.0069894344
46800,0.0069903955
46900,0.0070085973
47000,0.0069770664
47100,0.0071260333
47200,0.0070887506
47300,0.0070001483
47400,0.007094443
47500,0.006877266
47600,0.0068495423
47700,0.006963104
47800,0.007013522
47900,0.0070696324
48000,0.006988764
48100,0.0072008073
48200,0.0070444643
48300,0.0070693195
48400,0.007052034
48500,0.0070797205
48600,0.006955534
48700,0.007092163
48800,0.0070800334
48900,0.0069679767
49000,0.007133633
49100,0.006992817
49200,0.007086754
49300,0.0071356595
49400,0.0068844855
49500,0.0069321543
49600,0.0069428533
49700,0.0069258064
49800,0.0068672597
49900,0.006662518
